City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kapaa,22.0752,-159.319,26.18,76,90,0.89,US,1629912860
Esperance,-33.8667,121.9,12.91,49,86,8.94,AU,1629912860
Qaanaaq,77.484,-69.3632,4.72,85,100,4.78,GL,1629912861
Cape Town,-33.9258,18.4232,14.51,82,0,0.89,ZA,1629912861
Mehrān,33.1222,46.1646,36.71,9,0,4.29,IR,1629912861
Pampa,35.5362,-100.9599,36.22,40,1,5.14,US,1629912646
Brae,60.3964,-1.353,12.95,80,62,5.83,GB,1629912862
Butaritari,3.0707,172.7902,28.5,70,100,7.14,KI,1629912862
Arrondissement d'Ajaccio,42.0,8.9167,25.27,73,0,2.57,FR,1629912862
Bonthe,7.5264,-12.505,24.39,92,100,2.77,SL,1629912862
Iqaluit,63.7506,-68.5145,6.85,81,75,3.6,CA,1629912613
Smithers,54.7804,-127.1743,11.18,76,75,1.54,CA,1629912793
Punta Arenas,-53.15,-70.9167,5.06,70,75,7.72,CL,1629912863
Bariloche,-41.1456,-71.3082,5.86,75,75,13.38,AR,1629912628
Ushuaia,-54.8,-68.3,3.81,52,0,0.0,AR,1629912835
Hobart,-42.8794,147.3294,6.92,86,40,4.12,AU,1629912864
Boende,-0.2167,20.8667,26.69,62,19,0.86,CD,1629912864
Busselton,-33.65,115.3333,11.69,84,30,3.87,AU,1629912864
Carnarvon,-24.8667,113.6333,19.04,79,40,7.72,AU,1629912864
Geraldton,-28.7667,114.6,13.23,94,90,3.09,AU,1629912865
Dikson,73.5069,80.5464,3.25,87,100,8.3,RU,1629912865
Havøysund,70.9963,24.6622,12.49,72,31,3.18,NO,1629912865
San Jerónimo,-11.9472,-75.2829,18.55,25,90,0.84,PE,1629912866
San Andrés,12.5847,-81.7006,30.01,79,75,6.69,CO,1629912866
Nisibis,37.0778,41.2178,32.3,19,0,2.83,TR,1629912866
Salalah,17.0151,54.0924,26.05,89,90,3.09,OM,1629912867
Flinders,-34.5833,150.8552,11.77,66,72,1.79,AU,1629912867
Vaini,-21.2,-175.2,19.09,72,40,4.12,TO,1629912867
Thinadhoo,0.5333,72.9333,28.07,75,46,5.25,MV,1629912868
Atuona,-9.8,-139.0333,25.33,74,63,8.93,PF,1629912868
Kumul,42.8,93.45,24.62,19,17,3.13,CN,1629912868
Saiha,22.4833,92.9667,22.45,100,100,0.7,IN,1629912869
Mitsamiouli,-11.3847,43.2844,24.16,78,20,2.06,KM,1629912869
Ponta Delgada,37.7333,-25.6667,23.4,60,20,8.75,PT,1629912869
Dudinka,69.4058,86.1778,6.14,93,100,5.57,RU,1629912870
Pori,61.4833,21.7833,13.04,94,20,2.57,FI,1629912870
San Ramon,37.7799,-121.978,22.12,76,1,2.24,US,1629912644
North Las Vegas,36.1989,-115.1175,36.38,13,1,2.06,US,1629912560
Muhafazat Lahij,13.1667,44.5833,32.56,42,36,3.05,YE,1629912870
Hermanus,-34.4187,19.2345,14.39,82,0,3.76,ZA,1629912871
Jamestown,42.097,-79.2353,31.21,63,1,1.34,US,1629912731
Pevek,69.7008,170.3133,1.41,97,100,7.98,RU,1629912871
Westport,41.1415,-73.3579,33.74,60,1,0.45,US,1629912663
Auki,-8.7676,160.7034,24.39,89,100,1.84,SB,1629912872
Florina,40.782,21.4098,23.57,59,54,1.56,GR,1629912872
Hofn,64.2539,-15.2082,13.01,100,90,2.57,IS,1629912872
Pangnirtung,66.1451,-65.7125,6.0,93,90,4.12,CA,1629912873
Čerčany,49.8529,14.703,19.98,62,2,1.91,CZ,1629912873
San Cristobal,7.7669,-72.225,29.1,53,92,3.49,VE,1629912873
Rikitea,-23.1203,-134.9692,21.54,68,12,3.41,PF,1629912874
Basco,20.4487,121.9702,28.78,73,10,4.66,PH,1629912874
San Rafael,-34.6177,-68.3301,17.14,13,22,2.69,AR,1629912875
Jaca,42.569,-0.5499,28.34,46,51,0.08,ES,1629912875
Cape Canaveral,28.4058,-80.6048,34.0,69,20,3.09,US,1629912875
Makakilo City,21.3469,-158.0858,24.27,76,1,2.06,US,1629912876
Aktobe,50.2797,57.2072,27.05,19,0,1.0,KZ,1629912876
Hilo,19.7297,-155.09,24.6,82,75,3.09,US,1629912778
Ponta do Sol,32.6667,-17.1,27.23,74,61,1.86,PT,1629912876
Saint George,37.1041,-113.5841,35.26,19,2,1.79,US,1629912626
Ancud,-41.8697,-73.8203,8.74,79,92,10.92,CL,1629912877
Airai,-8.9266,125.4092,13.28,88,69,1.39,TL,1629912877
Moyale,3.5167,39.0584,21.92,34,7,3.52,KE,1629912877
San Patricio,28.017,-97.5169,35.01,42,4,5.1,US,1629912878
Cabo San Lucas,22.8909,-109.9124,34.89,64,1,4.63,MX,1629912878
Harper,4.375,-7.7169,25.36,85,80,4.36,LR,1629912878
Olafsvik,64.8945,-23.7142,13.27,93,100,10.68,IS,1629912879
Khatanga,71.9667,102.5,4.2,91,100,8.43,RU,1629912879
Lompoc,34.6391,-120.4579,19.91,82,90,2.57,US,1629912879
Kamenka,51.3223,42.7678,18.45,50,11,4.21,RU,1629912880
Dunedin,-45.8742,170.5036,8.22,79,91,1.94,NZ,1629912880
Huilong,31.8111,121.655,27.21,83,97,2.39,CN,1629912880
Dawlatabad,36.4141,64.9053,26.97,13,0,2.36,AF,1629912881
Kloulklubed,7.0419,134.2556,24.28,71,100,1.59,PW,1629912881
Alès,44.1333,4.0833,28.39,50,39,2.65,FR,1629912881
São José da Coroa Grande,-8.8978,-35.1478,25.44,76,56,6.17,BR,1629912882
Pitsunda,43.1592,40.3378,26.1,82,7,1.97,GE,1629912882
Acapulco de Juárez,16.8634,-99.8901,28.9,79,90,5.66,MX,1629912639
Hithadhoo,-0.6,73.0833,27.79,74,32,4.04,MV,1629912882
Taft,31.7471,54.2088,26.97,13,0,0.0,IR,1629912883
La Rioja,42.25,-2.5,26.88,41,8,1.88,ES,1629912883
Samarai,-10.6167,150.6667,25.95,82,66,6.29,PG,1629912883
Port Alfred,-33.5906,26.891,17.23,85,0,6.14,ZA,1629912884
Kavieng,-2.5744,150.7967,27.23,78,68,4.76,PG,1629912884
Tasiilaq,65.6145,-37.6368,10.09,97,100,3.46,GL,1629912884
Muyezerskiy,63.9333,31.65,8.27,75,99,3.68,RU,1629912885
Hong Kong,22.2855,114.1577,29.62,82,93,3.34,HK,1629912841
Wurzburg,49.7878,9.9361,20.89,63,98,1.55,DE,1629912885
Longyearbyen,78.2186,15.6401,4.91,93,75,3.6,SJ,1629912885
Stykkisholmur,65.0757,-22.7297,14.28,87,100,8.08,IS,1629912886
Mokhsogollokh,61.4681,128.9203,9.53,90,90,2.61,RU,1629912886
Saint-Philippe,-21.3585,55.7679,19.77,76,39,3.72,RE,1629912886
Cidreira,-30.1811,-50.2056,18.23,91,99,2.39,BR,1629912887
Vila Velha,-20.3297,-40.2925,27.97,54,20,10.29,BR,1629912887
Ciudad Bolivar,8.1222,-63.5497,33.73,46,57,3.54,VE,1629912887
Arraial do Cabo,-22.9661,-42.0278,29.92,45,0,8.75,BR,1629912887
Alice Springs,-23.7,133.8833,2.75,41,0,0.0,AU,1629912888
Liwale,-9.7667,37.9333,23.33,59,9,4.28,TZ,1629912888
Mar del Plata,-38.0023,-57.5575,17.01,34,0,6.17,AR,1629912888
Norman Wells,65.282,-126.8329,12.02,94,90,3.6,CA,1629912889
Mehamn,71.0357,27.8492,11.1,81,20,5.14,NO,1629912889
Lakes Entrance,-37.8811,147.981,8.65,82,100,4.92,AU,1629912889
Nanortalik,60.1432,-45.2371,8.43,82,99,2.59,GL,1629912890
Sheridan,44.8333,-106.9173,29.62,42,4,1.79,US,1629912890
Shyroke,47.6917,33.2571,23.58,46,92,3.67,UA,1629912890
Puerto Ayora,-0.7393,-90.3518,24.98,82,100,4.92,EC,1629912891
Albany,42.6001,-73.9662,32.01,62,49,0.71,US,1629912603
Katsuura,35.1333,140.3,27.06,92,83,1.84,JP,1629912891
Mataura,-46.1927,168.8643,5.82,91,99,1.68,NZ,1629912891
Maracás,-13.4411,-40.4308,25.89,37,8,4.92,BR,1629912892
Srīsailain,16.0833,78.8667,25.57,76,59,1.45,IN,1629912892
Novo Aripuanã,-5.1206,-60.3797,31.48,47,67,1.62,BR,1629912892
Kangāvar,34.5043,47.9653,26.53,15,1,0.85,IR,1629912893
Bredasdorp,-34.5322,20.0403,12.62,82,0,2.06,ZA,1629912893
Yellowknife,62.456,-114.3525,16.29,77,20,7.2,CA,1629912626
East London,-33.0153,27.9116,18.52,82,0,3.6,ZA,1629912894
Erzin,36.9559,36.2,28.4,85,1,1.3,TR,1629912895
Bend,44.0582,-121.3153,20.11,32,1,0.45,US,1629912895
Brenes,37.5494,-5.8714,31.07,42,0,4.12,ES,1629912895
Bluff,-46.6,168.3333,6.0,87,100,5.45,NZ,1629912896
Leshukonskoye,64.8989,45.7622,8.77,76,100,2.89,RU,1629912896
Saldanha,-33.0117,17.9442,14.03,85,0,2.68,ZA,1629912896
Kichera,55.9375,110.0997,11.63,65,94,2.33,RU,1629912897
Bethel,41.3712,-73.414,33.04,57,1,2.06,US,1629912640
Aykhal,66.0,111.5,6.7,85,3,8.43,RU,1629912897
Los Chiles,11.0333,-84.7167,24.36,92,98,1.44,CR,1629912897
Talara,-4.5772,-81.2719,25.42,57,0,8.23,PE,1629912898
Hasaki,35.7333,140.8333,25.22,88,99,1.58,JP,1629912898
Kununurra,-15.7667,128.7333,20.72,23,4,2.99,AU,1629912898
Pizarro,4.9533,-77.366,25.65,88,100,2.52,CO,1629912899
Kargasok,59.0556,80.8572,20.18,75,67,2.73,RU,1629912899
Labuhan,-6.8844,112.2051,24.28,76,32,4.98,ID,1629912899
Sagna,46.9833,27.0167,17.19,95,100,4.69,RO,1629912900
Tuatapere,-46.1333,167.6833,6.01,90,100,2.68,NZ,1629912900
Sfântu Gheorghe,45.8667,25.7833,17.93,97,100,0.72,RO,1629912900
Ukrayinka,47.9167,35.35,23.16,49,0,1.0,UA,1629912901
Londoko,49.0333,131.9833,17.32,88,96,0.9,RU,1629912901
Saint Paul Harbor,57.79,-152.4072,11.73,82,90,0.0,US,1629912901
Micheweni,-4.9667,39.8333,23.81,78,0,5.96,TZ,1629912901
De Aar,-30.6497,24.0123,17.0,12,2,3.87,ZA,1629912902
Clyde River,70.4692,-68.5914,8.13,66,90,7.2,CA,1629912902
Severnyy,50.677,36.5532,21.02,68,0,2.0,RU,1629912902
Khani,41.9563,42.9566,20.76,78,55,1.57,GE,1629912903
Vanavara,60.34,102.2797,12.86,97,68,2.05,RU,1629912903
Nuuk,64.1835,-51.7216,9.34,87,90,5.66,GL,1629912911
Show Low,34.2542,-110.0298,29.81,26,1,0.89,US,1629912799
Saint-Augustin,51.226,-58.6502,23.62,40,72,4.59,CA,1629912911
Riyadh,24.6877,46.7219,36.08,14,6,0.59,SA,1629912911
Sinnamary,5.3833,-52.95,29.86,62,6,4.25,GF,1629912912
Alofi,-19.0595,-169.9187,20.94,73,98,5.66,NU,1629912912
Venado Tuerto,-33.7456,-61.9688,18.2,25,45,2.41,AR,1629912912
Barrow,71.2906,-156.7887,0.01,86,90,3.09,US,1629912913
Hīt,33.6416,42.8251,37.9,13,0,4.11,IQ,1629912913
Avarua,-21.2078,-159.775,20.03,88,90,3.6,CK,1629912913
Port-Gentil,-0.7193,8.7815,24.98,83,90,5.66,GA,1629912914
Homer,59.6425,-151.5483,12.65,93,90,2.06,US,1629912914
Itaituba,-4.2761,-55.9836,35.09,49,40,5.14,BR,1629912914
Lagoa,39.05,-27.9833,21.02,63,6,6.28,PT,1629912915
Suffolk,40.8668,-72.7996,33.89,65,1,3.09,US,1629912915
Leningradskiy,69.3833,178.4167,3.44,96,100,6.19,RU,1629912915
Celestún,20.8667,-90.4,30.9,61,63,3.62,MX,1629912916
Kangaba,11.9333,-8.4167,27.67,75,88,1.84,ML,1629912916
Mahāban,27.4333,77.75,31.31,52,69,4.39,IN,1629912916
Wagga Wagga,-35.1167,147.3667,3.23,93,6,1.03,AU,1629912917
Vadodara,22.3,73.2,27.77,76,99,5.94,IN,1629912917
Klaksvík,62.2266,-6.589,12.51,97,100,2.38,FO,1629912917
Luangwa,-15.6167,30.4167,25.94,27,0,2.89,ZM,1629912855
Maués,-3.3836,-57.7186,38.85,24,23,1.78,BR,1629912918
Bengkulu,-3.8004,102.2655,24.14,89,33,3.61,ID,1629912918
Yumen,40.2833,97.2,17.34,28,25,3.61,CN,1629912918
Mopti,14.6667,-4.0,34.98,38,93,4.5,ML,1629912919
Asekeyevo,53.5742,52.7972,20.1,81,86,4.73,RU,1629912919
Hoi An,15.8794,108.335,27.98,88,16,2.38,VN,1629912917
Trelew,-43.249,-65.3051,14.19,28,30,10.15,AR,1629912920
Ishigaki,24.3448,124.1572,28.41,77,76,4.66,JP,1629912920
Kautokeino,69.0125,23.0412,8.78,65,100,1.55,NO,1629912920
Sémbé,1.6481,14.5806,23.19,90,90,1.65,CG,1629912921
Port Lincoln,-34.7333,135.8667,10.88,68,36,4.49,AU,1629912624
Batavia,41.85,-88.3126,32.96,65,1,0.45,US,1629912749
Salinópolis,-0.6136,-47.3561,28.64,70,81,4.89,BR,1629912921
Abu Kamal,34.4506,40.9171,36.62,17,0,2.48,SY,1629912921
Lebu,-37.6167,-73.65,10.77,82,99,6.09,CL,1629912922
Tanout,14.9709,8.8879,36.59,24,45,3.52,NE,1629912922
Margate,51.3813,1.3862,19.54,75,6,1.79,GB,1629912922
Lavrentiya,65.5833,-171.0,5.18,74,100,3.27,RU,1629912923
Severo-Kuril'sk,50.6789,156.125,11.82,96,80,4.54,RU,1629912923
Alghero,40.5589,8.3181,27.05,69,20,3.6,IT,1629912923
Raudeberg,61.9875,5.1352,14.37,84,80,3.58,NO,1629912640
Roboré,-18.3333,-59.75,39.33,14,54,6.02,BO,1629912924
Batticaloa,7.7102,81.6924,28.49,74,86,1.92,LK,1629912924
Arys,42.4252,68.795,29.12,16,0,2.34,KZ,1629912925
Resistencia,-27.4606,-58.9839,15.61,89,90,3.6,AR,1629912925
Warren,39.4334,-84.1666,30.88,67,1,2.06,US,1629912888
Mahébourg,-20.4081,57.7,21.16,68,40,1.54,MU,1629912925
Ban Dung,17.699,103.2596,25.05,88,94,1.7,TH,1629912926
Moose Factory,51.2585,-80.6094,20.0,72,1,2.57,CA,1629912926
Saskylakh,71.9167,114.0833,8.79,96,100,6.56,RU,1629912926
Provideniya,64.3833,-173.3,5.72,76,100,4.4,RU,1629912927
Port Elizabeth,-33.918,25.5701,17.83,77,0,5.66,ZA,1629912808
North Platte,41.1239,-100.7654,23.94,64,90,5.14,US,1629912927
Portland,45.5234,-122.6762,21.92,61,75,0.45,US,1629912928
Lázaro Cárdenas,17.9583,-102.2,29.87,69,65,1.41,MX,1629912908
Petropavlovsk-Kamchatskiy,53.0452,158.6483,11.33,100,90,2.0,RU,1629912928
Charters Towers,-20.1,146.2667,12.57,93,4,2.42,AU,1629912928
Constitución,-35.3333,-72.4167,11.74,67,66,3.38,CL,1629912929
Huanren,41.2647,125.3667,15.72,98,48,1.99,CN,1629912929
Ust-Nera,64.5667,143.2,13.61,91,100,1.93,RU,1629912929
Sitrah,26.1547,50.6206,37.98,40,1,0.45,BH,1629912930
Port Hedland,-20.3167,118.5667,18.03,55,1,2.57,AU,1629912930
Jiutai,44.1525,125.8328,19.19,96,99,3.11,CN,1629912930
Aban,56.67,96.06,13.75,86,100,3.22,RU,1629912931
Kongsberg,59.6652,9.6465,21.06,49,59,0.45,NO,1629912931
Tarauacá,-8.1614,-70.7656,39.08,24,63,1.88,BR,1629912931
Manhattan,40.7834,-73.9662,34.41,46,1,1.54,US,1629912931
Te Anau,-45.4167,167.7167,7.3,91,82,2.35,NZ,1629912932
Upernavik,72.7868,-56.1549,5.32,89,100,10.28,GL,1629912932
Umm Kaddadah,13.6017,26.6876,31.19,41,90,4.88,SD,1629912932
Sampit,-2.5333,112.95,22.82,99,93,1.08,ID,1629912933
Galle,6.0367,80.217,25.91,86,24,3.3,LK,1629912933
Kavaratti,10.5669,72.642,27.29,79,91,7.39,IN,1629912933
Gryfino,53.2524,14.4883,19.01,87,89,7.16,PL,1629912934
Ostrovnoy,68.0531,39.5131,5.85,69,83,2.49,RU,1629912934
Sambava,-14.2667,50.1667,21.45,80,0,6.5,MG,1629912934
Devils Lake,48.1128,-98.8651,17.75,74,0,2.24,US,1629912935
Ivangorod,59.3716,28.2162,12.11,77,100,4.35,RU,1629912935
Quatre Cocos,-20.2078,57.7625,21.06,70,38,5.32,MU,1629912935
Byron Bay,-28.65,153.6167,11.04,67,0,3.19,AU,1629912936
Alta Floresta,-9.8756,-56.0861,36.9,30,40,3.09,BR,1629912836
Bonavista,48.6499,-53.1147,26.0,92,85,7.66,CA,1629912936
Wattegama,6.7989,81.4808,25.72,74,97,3.37,LK,1629912936
Kenai,60.5544,-151.2583,11.19,92,90,1.54,US,1629912937
Fjerritslev,57.0813,9.2664,21.26,60,11,5.87,DK,1629912937
Sechura,-5.5569,-80.8222,24.82,55,47,7.0,PE,1629912938
Tuktoyaktuk,69.4541,-133.0374,5.0,93,90,4.63,CA,1629912938
New Norfolk,-42.7826,147.0587,6.72,83,100,0.45,AU,1629912938
Anadyr,64.75,177.4833,7.28,100,90,5.0,RU,1629912938
Kamaishi,39.2667,141.8833,23.52,91,89,2.65,JP,1629912939
Ouro Preto do Oeste,-10.7481,-62.2158,39.01,18,10,3.17,BR,1629912939
Ribeira Grande,38.5167,-28.7,23.22,60,40,2.57,PT,1629912939
Touros,-5.1989,-35.4608,29.5,67,11,8.84,BR,1629912940
Saint-Pierre,-21.3393,55.4781,19.82,68,0,3.09,RE,1629912940
Timiryazevskiy,56.49,84.8769,17.53,91,31,1.76,RU,1629912940
Svetlaya,46.5389,138.3297,17.41,91,99,5.36,RU,1629912941
Yulara,-25.2406,130.9889,6.91,33,0,2.57,AU,1629912941
Mungaa,-4.9667,34.8833,21.29,33,27,4.34,TZ,1629912941
Lubao,14.9167,120.55,27.01,87,79,1.63,PH,1629912942
Caravelas,-17.7125,-39.2481,25.11,66,57,4.42,BR,1629912942
Novy Urengoy,66.0833,76.6333,9.12,62,72,3.77,RU,1629912942
Gamba,-2.65,10.0,24.07,82,23,4.38,GA,1629912943
Tura,25.5198,90.2201,23.98,98,96,3.13,IN,1629912943
Kortkeros,61.8106,51.5806,11.0,93,20,2.3,RU,1629912943
Souillac,-20.5167,57.5167,21.21,68,40,1.54,MU,1629912944
Kaitangata,-46.2817,169.8464,6.29,90,95,2.06,NZ,1629912944
Taoudenni,22.6783,-3.9836,42.43,5,30,0.53,ML,1629912944
Cherskiy,68.75,161.3,6.13,91,91,2.34,RU,1629912945
Ubari,26.5921,12.7805,32.71,16,0,3.61,LY,1629912945
Kiryat Gat,31.61,34.7642,29.67,100,0,3.98,IL,1629912945
George Town,5.4112,100.3354,27.16,88,20,1.03,MY,1629912663
Launceston,-41.45,147.1667,6.45,83,90,3.58,AU,1629912946
São Filipe,14.8961,-24.4956,26.03,84,94,0.62,CV,1629912946
Fukuechō,32.6881,128.8419,26.82,91,75,9.01,JP,1629912946
Zhalantun,48.0,122.7167,14.39,97,100,1.87,CN,1629912947
Mossamedes,-15.1961,12.1522,17.64,73,1,5.21,AO,1629912947
Giżycko,54.0381,21.7644,15.38,60,100,5.58,PL,1629912947
Hirara,24.8,125.2833,28.23,77,60,5.11,JP,1629912948
Qui Nhon,13.7667,109.2333,25.51,87,100,3.0,VN,1629912948
Padang,-0.9492,100.3543,24.77,86,77,1.52,ID,1629912948
Cayenne,4.9333,-52.3333,32.02,68,20,1.79,GF,1629912948
Walvis Bay,-22.9575,14.5053,15.61,72,0,2.57,NA,1629912949
Pisco,-13.7,-76.2167,22.03,56,45,8.75,PE,1629912949
Vaitape,-16.5167,-151.75,25.58,75,100,7.23,PF,1629912949
Fairbanks,64.8378,-147.7164,13.39,96,90,2.06,US,1629912950
Coquimbo,-29.9533,-71.3436,15.85,58,20,4.63,CL,1629912950
Talnakh,69.4865,88.3972,5.91,97,100,5.06,RU,1629912950
Andenes,69.3143,16.1194,10.99,87,20,2.57,NO,1629912951
Gimli,50.6336,-96.9907,17.46,67,78,4.63,CA,1629912951
Åmot,59.5714,7.9877,19.01,52,36,3.61,NO,1629912951
Bouillante,16.1304,-61.7692,31.57,61,40,3.59,GP,1629912952
Tahara,34.6667,137.2667,27.23,85,43,4.35,JP,1629912952
Teluknaga,-6.0989,106.6381,26.02,83,40,2.06,ID,1629912952
Kachug,53.9606,105.8817,11.79,65,100,1.61,RU,1629912953
Itoman,26.1247,127.6694,28.01,88,20,2.06,JP,1629912953
Dicabisagan,17.0818,122.4157,26.16,85,29,0.52,PH,1629912953
Grand Gaube,-20.0064,57.6608,21.22,70,10,1.34,MU,1629912953
Boulsa,12.6675,-0.5758,29.7,62,100,3.85,BF,1629912954
Bambous Virieux,-20.3428,57.7575,21.14,68,40,1.54,MU,1629912954
Namatanai,-3.6667,152.4333,25.51,82,81,2.98,PG,1629912954
Chui,-33.6971,-53.4616,12.56,90,100,6.83,UY,1629912955
Anchorage,61.2181,-149.9003,13.81,87,90,2.06,US,1629912600
Sobolevo,54.4299,31.8996,12.83,98,100,1.87,RU,1629912955
Ternate,0.8,127.4,26.01,82,100,2.22,ID,1629912955
Gizo Government Station,-8.103,156.8419,26.67,79,97,3.91,SB,1629912956
